title,address,access,station,access_extracted,running_cost,initial_cost,menseki,age1,floor,All floor,running_cost_per_m2,running_cost_per_access
東京メトロ東西線 葛西駅 6階建 築20年,東京都江戸川区東葛西５,"
東京メトロ東西線/葛西駅 歩6分
東京メトロ東西線/浦安駅 歩23分
東京メトロ東西線/西葛西駅 歩24分
",葛西,6.0,1050000000.0,2100000000.0,41.46m2,20.0,0,6.0,25609756.097560976,175000000.0
東京メトロ東西線 葛西駅 6階建 築20年,東京都江戸川区東葛西５,"
東京メトロ東西線/葛西駅 歩6分
東京メトロ東西線/浦安駅 歩23分
東京メトロ東西線/西葛西駅 歩24分
",葛西,6.0,1070000000.0,2140000000.0,41.06m2,20.0,0,6.0,26097560.975609757,178333333.33333334
エクレールII,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩5分
東京メトロ東西線/南行徳駅 歩13分
ＪＲ京葉線/新浦安駅 バス26分 (バス停)船圦緑道 歩6分
",浦安,5.0,950003000.0,1900000000.0,33.84m2,2.0,0,3.0,28787969.696969695,190000600.0
エクレールII,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩5分
東京メトロ東西線/南行徳駅 歩13分
ＪＲ京葉線/新浦安駅 バス26分 (バス停)船圦緑道 歩6分
",浦安,5.0,950003000.0,1900000000.0,33.84m2,2.0,0,3.0,28787969.696969695,190000600.0
テイルズ,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分
東京メトロ東西線/南行徳駅 歩10分
東京メトロ東西線/行徳駅 歩30分
",浦安,10.0,990003300.0,990000000.0,45.97m2,10.0,0,2.0,22000073.333333332,99000330.0
東京メトロ東西線 浦安駅 3階建 築2年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩5分
東京メトロ東西線/南行徳駅 歩13分
東京メトロ東西線/行徳駅 歩32分
",浦安,5.0,950003000.0,1900000000.0,33.84m2,2.0,0,3.0,28787969.696969695,190000600.0
東京メトロ東西線 浦安駅 3階建 築12年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩8分
東京メトロ東西線/南行徳駅 歩20分
東京メトロ東西線/葛西駅 歩34分
",浦安,8.0,1040006000.0,2080000000.0,41.48m2,12.0,0,3.0,25366000.0,130000750.0
サウスコートEJ,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩8分
東京メトロ東西線/南行徳駅 歩20分
東京メトロ東西線/葛西駅 歩35分
",浦安,8.0,1040006000.0,2080000000.0,41.48m2,12.0,0,3.0,25366000.0,130000750.0
東京メトロ東西線 浦安駅 3階建 築12年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分


",浦安,10.0,1060003000.0,2120000000.0,45.91m2,12.0,0,3.0,23555622.222222224,106000300.0
東京メトロ東西線 浦安駅 3階建 築17年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩10分


",浦安,10.0,1030005000.0,1030000000.0,47.51m2,17.0,0,3.0,21915000.0,103000500.0
東京メトロ東西線 浦安駅 4階建 築13年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩8分
東京メトロ東西線/南行徳駅 歩15分
ＪＲ京葉線/新浦安駅 歩27分
",浦安,8.0,1070007000.0,1605000000.0,41.06m2,13.0,0,4.0,26097731.707317073,133750875.0
東京メトロ東西線 浦安駅 4階建 築13年,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩8分
東京メトロ東西線/南行徳駅 歩15分
ＪＲ京葉線/新浦安駅 歩27分
",浦安,8.0,1090007000.0,1635000000.0,42.04m2,13.0,0,4.0,25952547.61904762,136250875.0
セラ浦安,東京都江戸川区東葛西５,"
東京メトロ東西線/浦安駅 歩8分
東京メトロ東西線/南行徳駅 歩15分
ＪＲ京葉線/新浦安駅 歩27分
",浦安,8.0,1070007000.0,1605000000.0,41.06m2,13.0,0,4.0,26097731.707317073,133750875.0
